episode,model,bandwidth,final_reward,split_point
359,efficientnetb2,939,0.4515770715118704,5
360,efficientnetb2,750,1.0,3
361,efficientnetb1,550,0.5223117533457641,5
362,resnet34,350,0.5163674653124631,5
363,resnet50,550,0.0097267662088094,1
364,densenet121,350,0.0,1
365,resnet34,750,0.3301584795875527,3
366,efficientnetb0,750,0.6483214388113725,4
367,resnet50,350,0.6807257591827157,8
368,efficientnetb2,939,0.2064582521296088,2
369,densenet121,750,0.0,1
370,densenet121,350,0.0523859604428457,3
371,efficientnetb2,350,1.0,3
372,efficientnetb0,750,0.0,1
373,efficientnetb2,939,1.0,3
374,efficientnetb1,939,0.7039994792384792,4
375,vgg19,939,0.0,2
376,efficientnetb1,750,1.0,3
377,efficientnetb1,350,0.0,1
378,resnet34,939,0.2104748857315504,1
379,vgg19,750,0.0061276421520036,2
380,vgg19,750,0.482051380981956,8
381,resnet34,550,0.1426819901860775,1
382,resnet50,350,0.4097205423764233,4
383,vgg19,939,0.053642035656265,3
384,vgg16,350,0.1139662905811487,4
385,efficientnetb0,550,1.0,3
386,efficientnetb0,550,0.2755689518747824,6
387,efficientnetb2,750,0.0,1
388,resnet34,350,0.2851988166522616,3
389,efficientnetb0,550,0.5319033905566624,5
390,resnet50,350,0.0174859151390518,1
391,densenet121,750,0.0,1
392,vgg19,550,0.0192737323606945,1
393,densenet121,939,0.4858756243316292,5
394,resnet50,350,0.0174859151390518,1
395,efficientnetb0,750,0.4450311925360435,5
396,efficientnetb1,750,0.0,1
397,resnet34,939,0.8527581774225047,5
398,efficientnetb0,550,1.0,3
399,efficientnetb1,939,0.0,1
400,efficientnetb2,750,0.6313792880026403,4
401,densenet121,939,0.0166311998595305,3
402,efficientnetb2,939,0.2064582521296088,2
403,efficientnetb1,350,0.3137835430767212,6
404,efficientnetb1,350,0.2323535341648464,2
405,densenet121,939,0.0166311998595305,3
406,vgg19,750,0.1063831635744575,4
407,densenet121,750,0.0279532973407523,2
408,resnet50,939,0.8017819857800019,7
409,densenet121,550,0.0,1
410,efficientnetb0,550,0.5319033905566624,5
411,densenet121,350,0.0321065308334073,2
412,densenet121,750,1.0,6
413,densenet121,939,0.133680659859905,4
414,efficientnetb2,939,1.0,3
415,resnet34,750,0.6733833829902832,6
416,efficientnetb0,550,0.290069122860228,2
417,vgg19,550,0.3608150480635607,7
418,resnet50,939,0.3012988939538109,3
419,efficientnetb2,350,0.0,1
420,efficientnetb1,750,0.0,1
421,densenet121,550,0.0266970250369456,2
422,vgg19,350,0.0047515404264518,2
423,resnet50,350,0.8169515861153699,7
424,resnet50,939,0.6400205520491736,8
425,densenet121,550,0.0267032533330688,3
426,resnet34,350,0.2851988166522616,3
427,resnet34,550,0.2165759106887793,2
428,efficientnetb2,550,0.4196653103687508,5
429,efficientnetb1,350,0.0,1
430,vgg19,750,0.349757663747874,6
431,resnet50,550,0.2772450699669692,3
432,efficientnetb2,939,0.0,1
433,efficientnetb1,550,0.2436659344100393,2
434,vgg19,939,0.053642035656265,3
435,efficientnetb2,350,0.1727158782926704,2
436,efficientnetb2,550,1.0,3
437,vgg16,939,0.0548212617333455,3
438,resnet50,939,1.0,6
439,densenet121,750,0.0279532973407523,2
440,densenet121,750,0.0279532973407523,2
441,efficientnetb0,750,0.221102352041803,2
442,vgg16,750,0.3719773828090447,7
443,efficientnetb0,939,0.245393377540531,2
444,vgg19,750,0.0061276421520036,2
445,densenet121,550,0.0267032533330688,3
446,efficientnetb2,550,0.1997439170806723,2
447,efficientnetb2,550,0.0,1
448,efficientnetb2,939,0.6509085704414946,4
449,efficientnetb2,939,0.2064582521296088,2
450,vgg16,939,0.0,2
451,vgg16,550,0.0199271539720846,1
452,efficientnetb2,550,0.1997439170806723,2
453,resnet34,350,0.19930012289416,2
454,resnet50,350,0.2365622217411404,3
455,vgg16,939,0.0,2
456,vgg19,939,0.0183675354070255,1
457,densenet121,350,0.6263678162488967,5
458,efficientnetb0,550,1.0,3
459,vgg16,550,0.0,2
460,vgg19,939,0.3698836387150448,7
461,densenet121,550,0.0,1
462,vgg16,939,0.0,2
463,vgg19,350,0.6857714069171352,20
464,vgg16,939,0.0381294915227273,4
465,resnet50,750,0.3344894405367239,2
466,efficientnetb2,750,0.1065082490569524,7
467,resnet34,939,0.7020867334437453,8
468,densenet121,550,0.0266970250369456,2
469,vgg16,550,0.0199271539720846,1
470,vgg16,350,0.0238402416290037,2
471,efficientnetb0,750,0.0665010548114934,7
472,vgg19,550,0.93432282209291,16
473,vgg16,750,0.0,2
474,resnet50,750,0.098265786808133,1
475,resnet34,939,0.8120702549228033,7
476,resnet34,750,0.4742055237385399,5
477,resnet34,939,0.7089537968694798,4
478,resnet50,350,0.4097205423764233,4
479,efficientnetb2,550,0.4196653103687508,5
480,resnet34,750,0.2101132021199169,2
481,vgg16,750,0.0058887013115276,1
482,densenet121,750,0.0983602208090902,4
483,efficientnetb2,750,0.0,1
484,resnet34,939,0.8527581774225047,5
485,resnet34,350,0.0985681061187866,15
486,efficientnetb2,550,0.1997439170806723,2
487,efficientnetb1,550,0.0,1
488,efficientnetb1,350,0.2323535341648464,2
489,resnet50,750,0.9081489241651808,4
490,resnet50,750,0.5242927837491854,3
491,efficientnetb2,350,0.0,1
492,efficientnetb2,550,0.1997439170806723,2
493,densenet121,939,0.0166311998595305,3
494,resnet50,350,0.4097205423764233,4
495,vgg16,350,0.0,1
496,resnet34,750,0.1441687792856025,1
497,efficientnetb2,350,0.0,1
498,vgg19,350,0.3463718988145903,7
499,vgg19,750,0.0,1
500,densenet121,939,0.0166311998595305,3
501,efficientnetb1,350,1.0,3
502,efficientnetb1,350,1.0,3
503,vgg16,939,1.0,13
504,densenet121,350,0.529578650458239,8
505,resnet50,550,1.0,6
506,efficientnetb1,550,0.0,1
507,vgg16,350,0.1139662905811487,4
508,densenet121,350,0.6263678162488967,5
509,efficientnetb2,939,1.0,3
510,resnet34,750,0.1441687792856025,1
511,efficientnetb1,350,0.2323535341648464,2
512,vgg16,350,0.1139662905811487,4
513,resnet50,350,0.0174859151390518,1
514,resnet50,550,0.2772450699669692,3
515,efficientnetb1,750,0.7228690296773087,4
516,efficientnetb2,750,1.0,3
517,vgg19,350,0.063159932094785,4
518,efficientnetb0,939,1.0,3
519,vgg16,350,0.0713714441743471,3
520,efficientnetb0,750,0.221102352041803,2
521,resnet50,550,0.8501913432605966,5
522,efficientnetb0,750,0.0,1
523,resnet34,750,0.2101132021199169,2
524,efficientnetb1,550,1.0,3
525,vgg16,939,0.5638100259338691,8
526,efficientnetb1,939,0.7039994792384792,4
527,vgg19,939,0.0183675354070255,1
528,vgg16,350,0.4552780768214839,7
529,vgg16,350,0.0238402416290037,2
530,efficientnetb0,939,0.245393377540531,2
531,efficientnetb1,550,0.6878389778024664,4
532,efficientnetb0,939,0.245393377540531,2
533,efficientnetb0,939,0.0,1
534,densenet121,550,0.0267032533330688,3
535,efficientnetb1,750,0.3094983907889674,6
536,efficientnetb2,350,0.0,1
537,vgg16,750,0.3927521762586766,6
538,resnet34,550,0.2165759106887793,2
539,vgg16,939,0.0060710231598882,1
540,efficientnetb0,350,0.0,1
541,efficientnetb2,939,0.2064582521296088,2
542,densenet121,750,0.0,1
543,resnet34,550,0.6271701708292037,6
544,efficientnetb1,939,0.2284047954549483,2
545,vgg19,550,0.93699417819052,14
546,resnet50,939,0.8248723661787692,5
547,vgg19,550,0.0,2
548,vgg16,750,0.4544437830679675,5
549,efficientnetb0,550,0.7484594574197447,4
550,resnet50,750,1.0,5
551,efficientnetb2,750,0.1857252749278613,2
552,vgg19,550,0.1248786103205342,4
553,resnet50,750,0.098265786808133,1
554,efficientnetb1,750,0.0,1
